[E 260423 09:30:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '5258', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 09:30', 'todate': '2026-04-23 09:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 09:30:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1594', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 09:30', 'todate': '2026-04-23 09:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 09:30:29 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '17963', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 09:30', 'todate': '2026-04-23 09:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 09:37:54 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6Ikg2MTYwNzIwNSIsInJvbGVzIjowLCJ1c2VydHlwZSI6IlVTRVIiLCJ0b2tlbiI6ImV5SmhiR2NpT2lKU1V6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUoxYzJWeVgzUjVjR1VpT2lKamJHbGxiblFpTENKMGIydGxibDkwZVhCbElqb2lkSEpoWkdWZllXTmpaWE56WDNSdmEyVnVJaXdpWjIxZmFXUWlPakV6TENKemIzVnlZMlVpT2lJeklpd2laR1YyYVdObFgybGtJam9pTm1OalltRmhZak10TnpNME5pMHpOamMxTFRsbVptSXRaREU1T1RFNFltUTVNMlEySWl3aWEybGtJam9pZEhKaFpHVmZhMlY1WDNZeUlpd2liMjF1WlcxaGJtRm5aWEpwWkNJNk1UTXNJbkJ5YjJSMVkzUnpJanA3SW1SbGJXRjBJanA3SW5OMFlYUjFjeUk2SW1GamRHbDJaU0o5TENKdFppSTZleUp6ZEdGMGRYTWlPaUpoWTNScGRtVWlmU3dpYm1KMVRHVnVaR2x1WnlJNmV5SnpkR0YwZFhNaU9pSmhZM1JwZG1VaWZYMHNJbWx6Y3lJNkluUnlZV1JsWDJ4dloybHVYM05sY25acFkyVWlMQ0p6ZFdJaU9pSklOakUyTURjeU1EVWlMQ0psZUhBaU9qRTNOemN3TURJeE1qVXNJbTVpWmlJNk1UYzNOamt4TlRVME5Td2lhV0YwSWpveE56YzJPVEUxTlRRMUxDSnFkR2tpT2lJNE1tUm1OMlJqTVMxbVpqVm1MVFEzTXpNdFlUY3dPQzB6WkdFNE1HRTRPRGN3TnpRaUxDSlViMnRsYmlJNklpSjkucnd1UTRWVDZTYllsTjNWNWNyVGMyMG4tdEFhSWtQYXhkQko0R0ZMQ1IwV2lpLXJWcUVzOHExUElMekhwSzlOSU1aakdOLXdreWU5aXlHWnAweWlKbXVWWVF6N2w4OTBuak44RmZtU3ZhZHVxMGNLQUVQakppR1JRR1d6MmhSNno1aXlDMFRDdTZqaTVXZ3RCM3FwMFNORFRoR2pfWkxlMi1DekNpLUk4NF9NIiwiQVBJLUtFWSI6ImNZZzg0OWlNIiwiWC1PTEQtQVBJLUtFWSI6ZmFsc2UsImlhdCI6MTc3NjkxNTcyNSwiZXhwIjoxNzc2OTY5MDAwfQ.jhAuKmAzsF-CFnoDk_wcisa-tByQOKX6OrbS1WcBa5jUKgaEslaXZjwUoup0s1z7Z6vMCbJ4A7AYPZdcvF1P_Q'}, Request: {'exchange': 'NSE', 'symboltoken': '11532', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 09:37', 'todate': '2026-04-23 09:37'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1cd3c398550>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260423 10:25:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '10604', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 10:25', 'todate': '2026-04-23 10:25'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 10:39:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '16675', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 10:39', 'todate': '2026-04-23 10:39'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 10:40:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '11630', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 10:40', 'todate': '2026-04-23 10:40'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 11:00:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '5900', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 11:00', 'todate': '2026-04-23 11:00'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 11:35:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '157', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 11:35', 'todate': '2026-04-23 11:35'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 11:50:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '10999', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 11:50', 'todate': '2026-04-23 11:50'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260423 12:03:36 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6Ikg2MTYwNzIwNSIsInJvbGVzIjowLCJ1c2VydHlwZSI6IlVTRVIiLCJ0b2tlbiI6ImV5SmhiR2NpT2lKU1V6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUoxYzJWeVgzUjVjR1VpT2lKamJHbGxiblFpTENKMGIydGxibDkwZVhCbElqb2lkSEpoWkdWZllXTmpaWE56WDNSdmEyVnVJaXdpWjIxZmFXUWlPakV6TENKemIzVnlZMlVpT2lJeklpd2laR1YyYVdObFgybGtJam9pTm1OalltRmhZak10TnpNME5pMHpOamMxTFRsbVptSXRaREU1T1RFNFltUTVNMlEySWl3aWEybGtJam9pZEhKaFpHVmZhMlY1WDNZeUlpd2liMjF1WlcxaGJtRm5aWEpwWkNJNk1UTXNJbkJ5YjJSMVkzUnpJanA3SW1SbGJXRjBJanA3SW5OMFlYUjFjeUk2SW1GamRHbDJaU0o5TENKdFppSTZleUp6ZEdGMGRYTWlPaUpoWTNScGRtVWlmU3dpYm1KMVRHVnVaR2x1WnlJNmV5SnpkR0YwZFhNaU9pSmhZM1JwZG1VaWZYMHNJbWx6Y3lJNkluUnlZV1JsWDJ4dloybHVYM05sY25acFkyVWlMQ0p6ZFdJaU9pSklOakUyTURjeU1EVWlMQ0psZUhBaU9qRTNOemN3TURJeE1qVXNJbTVpWmlJNk1UYzNOamt4TlRVME5Td2lhV0YwSWpveE56YzJPVEUxTlRRMUxDSnFkR2tpT2lJNE1tUm1OMlJqTVMxbVpqVm1MVFEzTXpNdFlUY3dPQzB6WkdFNE1HRTRPRGN3TnpRaUxDSlViMnRsYmlJNklpSjkucnd1UTRWVDZTYllsTjNWNWNyVGMyMG4tdEFhSWtQYXhkQko0R0ZMQ1IwV2lpLXJWcUVzOHExUElMekhwSzlOSU1aakdOLXdreWU5aXlHWnAweWlKbXVWWVF6N2w4OTBuak44RmZtU3ZhZHVxMGNLQUVQakppR1JRR1d6MmhSNno1aXlDMFRDdTZqaTVXZ3RCM3FwMFNORFRoR2pfWkxlMi1DekNpLUk4NF9NIiwiQVBJLUtFWSI6ImNZZzg0OWlNIiwiWC1PTEQtQVBJLUtFWSI6ZmFsc2UsImlhdCI6MTc3NjkxNTcyNSwiZXhwIjoxNzc2OTY5MDAwfQ.jhAuKmAzsF-CFnoDk_wcisa-tByQOKX6OrbS1WcBa5jUKgaEslaXZjwUoup0s1z7Z6vMCbJ4A7AYPZdcvF1P_Q'}, Request: {'exchange': 'NSE', 'symboltoken': '694', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-21 12:03', 'todate': '2026-04-23 12:03'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1cd3c398a50>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
